Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-01-20 23:00:00, $1,994.93, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-21 23:00:00, $1,985.30, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-22 23:00:00, $1,954.84, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-23 23:00:00, $1,929.58, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-26 23:00:00, $1,906.61, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-27 23:00:00, $1,894.07, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-28 23:00:00, $1,864.91, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-29 23:00:00, $1,847.09, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-30 23:00:00, $1,844.52, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-02-02 23:00:00, $1,880.95, BUY, $99,564.71, $1,880.95, $0.00, $1,445.66
2020-02-03 23:00:00, $1,921.64, HOLD, $99,564.71, $1,880.95, $0.00, $1,445.66
2020-02-04 23:00:00, $1,936.76, BUY, $97,627.94, $3,817.71, $0.00, $1,445.66
2020-02-05 23:00:00, $1,919.61, SELL, $101,467.17, $0.00, $-17.15, $1,467.17
2020-02-06 23:00:00, $1,902.17, HOLD, $101,467.17, $0.00, $0.00, $1,467.17
2020-02-09 23:00:00, $1,919.62, BUY, $99,547.55, $1,919.62, $0.00, $1,467.17
2020-02-10 23:00:00, $1,943.51, HOLD, $99,547.55, $1,919.62, $0.00, $1,467.17
2020-02-11 23:00:00, $1,970.93, BUY, $97,576.62, $3,890.55, $0.00, $1,467.17
2020-02-12 23:00:00, $1,975.72, HOLD, $97,576.62, $3,890.55, $0.00, $1,467.17
2020-02-13 23:00:00, $1,979.08, BUY, $95,597.54, $5,869.63, $0.00, $1,467.17
2020-02-17 23:00:00, $1,971.50, SELL, $101,512.04, $0.00, $-7.58, $1,512.04
2020-02-18 23:00:00, $1,955.48, HOLD, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-19 23:00:00, $1,896.12, SELL, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-20 23:00:00, $1,814.28, HOLD, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-23 23:00:00, $1,731.52, SELL, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-24 23:00:00, $1,687.74, HOLD, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-25 23:00:00, $1,680.10, SELL, $101,512.04, $0.00, $0.00, $1,512.04
2020-02-26 23:00:00, $1,696.32, BUY, $99,815.72, $1,696.32, $0.00, $1,512.04
2020-02-27 23:00:00, $1,705.11, HOLD, $99,815.72, $1,696.32, $0.00, $1,512.04
2020-03-01 23:00:00, $1,716.87, BUY, $98,098.85, $3,413.19, $0.00, $1,512.04
2020-03-02 23:00:00, $1,690.73, SELL, $101,480.31, $0.00, $-26.14, $1,480.31
2020-03-03 23:00:00, $1,666.14, HOLD, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-04 23:00:00, $1,595.77, SELL, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-05 23:00:00, $1,566.14, HOLD, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-08 23:00:00, $1,509.39, SELL, $101,480.31, $0.00, $0.00, $1,480.31
2020-03-09 23:00:00, $1,427.72, HOLD, $101,480.31, $0.00, $0.00, $1,480.31
