Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 09:04:00, $2,416.39, SELL, $100,128.73, $0.00, $0.00, $128.73
2021-05-25 09:05:00, $2,416.00, HOLD, $100,128.73, $0.00, $0.00, $128.73
2021-05-25 09:06:00, $2,416.07, BUY, $97,712.65, $2,416.07, $0.00, $128.73
2021-05-25 09:09:00, $2,415.56, SELL, $100,128.21, $0.00, $-0.51, $128.21
2021-05-25 09:14:00, $2,415.29, HOLD, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:22:00, $2,414.94, SELL, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:26:00, $2,412.50, HOLD, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:27:00, $2,410.09, SELL, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:37:00, $2,407.13, HOLD, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:38:00, $2,406.99, SELL, $100,128.21, $0.00, $0.00, $128.21
2021-05-25 09:40:00, $2,407.14, BUY, $97,721.07, $2,407.14, $0.00, $128.21
2021-05-25 09:41:00, $2,407.39, HOLD, $97,721.07, $2,407.14, $0.00, $128.21
2021-05-25 09:42:00, $2,409.95, BUY, $95,311.12, $4,817.09, $0.00, $128.21
2021-05-25 09:43:00, $2,412.67, HOLD, $95,311.12, $4,817.09, $0.00, $128.21
2021-05-25 09:48:00, $2,415.81, BUY, $92,895.31, $7,232.90, $0.00, $128.21
2021-05-25 09:55:00, $2,416.79, HOLD, $92,895.31, $7,232.90, $0.00, $128.21
2021-05-25 09:56:00, $2,417.18, BUY, $90,478.13, $9,650.08, $0.00, $128.21
2021-05-25 09:57:00, $2,417.21, HOLD, $90,478.13, $9,650.08, $0.00, $128.21
2021-05-25 09:58:00, $2,416.71, SELL, $100,144.97, $0.00, $-0.47, $144.97
2021-05-25 09:59:00, $2,416.53, HOLD, $100,144.97, $0.00, $0.00, $144.97
2021-05-25 10:00:00, $2,415.41, SELL, $100,144.97, $0.00, $0.00, $144.97
2021-05-25 10:02:00, $2,414.61, HOLD, $100,144.97, $0.00, $0.00, $144.97
2021-05-25 10:03:00, $2,414.35, SELL, $100,144.97, $0.00, $0.00, $144.97
2021-05-25 10:04:00, $2,415.48, BUY, $97,729.49, $2,415.48, $0.00, $144.97
2021-05-25 10:10:00, $2,417.00, HOLD, $97,729.49, $2,415.48, $0.00, $144.97
2021-05-25 10:12:00, $2,417.24, BUY, $95,312.25, $4,832.72, $0.00, $144.97
2021-05-25 10:13:00, $2,416.79, SELL, $100,145.82, $0.00, $-0.45, $145.82
2021-05-25 10:15:00, $2,416.71, HOLD, $100,145.82, $0.00, $0.00, $145.82
2021-05-25 10:19:00, $2,417.30, BUY, $97,728.52, $2,417.30, $0.00, $145.82
2021-05-25 10:21:00, $2,416.76, SELL, $100,145.28, $0.00, $-0.54, $145.28
2021-05-25 10:22:00, $2,415.06, HOLD, $100,145.28, $0.00, $0.00, $145.28
2021-05-25 10:29:00, $2,412.57, SELL, $100,145.28, $0.00, $0.00, $145.28
2021-05-25 10:31:00, $2,410.62, HOLD, $100,145.28, $0.00, $0.00, $145.28
2021-05-25 10:35:00, $2,408.59, SELL, $100,145.28, $0.00, $0.00, $145.28
2021-05-25 10:38:00, $2,408.55, HOLD, $100,145.28, $0.00, $0.00, $145.28
2021-05-25 10:41:00, $2,409.97, BUY, $97,735.31, $2,409.97, $0.00, $145.28
2021-05-25 10:49:00, $2,412.32, HOLD, $97,735.31, $2,409.97, $0.00, $145.28
2021-05-25 10:57:00, $2,412.87, BUY, $95,322.44, $4,822.84, $0.00, $145.28
2021-05-25 11:00:00, $2,412.95, HOLD, $95,322.44, $4,822.84, $0.00, $145.28
2021-05-25 11:02:00, $2,413.08, BUY, $92,909.36, $7,235.92, $0.00, $145.28
2021-05-25 11:05:00, $2,413.18, HOLD, $92,909.36, $7,235.92, $0.00, $145.28
2021-05-25 11:15:00, $2,413.24, BUY, $90,496.12, $9,649.16, $0.00, $145.28
