Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 08:35:00, $1,388.70, BUY, $97,296.81, $2,775.56, $0.00, $72.37
2021-05-21 08:36:00, $1,386.72, SELL, $100,070.25, $0.00, $-1.98, $70.25
2021-05-21 08:37:00, $1,384.62, HOLD, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:38:00, $1,381.59, SELL, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:39:00, $1,380.06, HOLD, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:40:00, $1,378.65, SELL, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:41:00, $1,377.70, HOLD, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:42:00, $1,375.48, SELL, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:43:00, $1,373.32, HOLD, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:44:00, $1,370.78, SELL, $100,070.25, $0.00, $0.00, $70.25
2021-05-21 08:45:00, $1,370.96, BUY, $98,699.28, $1,370.96, $0.00, $70.25
2021-05-21 08:46:00, $1,371.27, HOLD, $98,699.28, $1,370.96, $0.00, $70.25
2021-05-21 08:47:00, $1,373.10, BUY, $97,326.18, $2,744.06, $0.00, $70.25
2021-05-21 08:49:00, $1,373.62, HOLD, $97,326.18, $2,744.06, $0.00, $70.25
2021-05-21 08:50:00, $1,373.37, SELL, $100,072.93, $0.00, $0.27, $72.93
2021-05-21 08:52:00, $1,372.92, HOLD, $100,072.93, $0.00, $0.00, $72.93
2021-05-21 08:53:00, $1,372.30, SELL, $100,072.93, $0.00, $0.00, $72.93
2021-05-21 08:55:00, $1,372.85, BUY, $98,700.08, $1,372.85, $0.00, $72.93
2021-05-21 08:56:00, $1,374.18, HOLD, $98,700.08, $1,372.85, $0.00, $72.93
2021-05-21 08:59:00, $1,376.17, BUY, $97,323.91, $2,749.02, $0.00, $72.93
2021-05-21 09:01:00, $1,378.14, HOLD, $97,323.91, $2,749.02, $0.00, $72.93
2021-05-21 09:02:00, $1,377.26, SELL, $100,078.42, $0.00, $1.08, $78.42
2021-05-21 09:06:00, $1,375.33, HOLD, $100,078.42, $0.00, $0.00, $78.42
2021-05-21 09:07:00, $1,371.09, SELL, $100,078.42, $0.00, $0.00, $78.42
2021-05-21 09:15:00, $1,368.37, HOLD, $100,078.42, $0.00, $0.00, $78.42
2021-05-21 09:18:00, $1,365.25, SELL, $100,078.42, $0.00, $0.00, $78.42
