Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,025537101,AEP ,"6,230,368","535,375,522.24",0.333,American Electric Power Co Inc,Common Stock,Utilities,05/25/2021
QQQ,98138H101,WDAY ,"2,258,029","534,181,920.53",0.332,Workday Inc,Common Stock,Information Technology,05/25/2021
QQQ,278642103,EBAY ,"8,536,768","523,303,878.40",0.325,eBay Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,595017104,MCHP ,"3,378,166","522,771,188.50",0.325,Microchip Technology Inc,Common Stock,Information Technology,05/25/2021
QQQ,09062X103,BIIB ,"1,911,145","522,602,600.25",0.325,Biogen Inc,Common Stock,Health Care,05/25/2021
QQQ,285512109,EA ,"3,608,539","516,959,297.14",0.321,Electronic Arts Inc,Common Stock,Communication Services,05/25/2021
QQQ,550021109,LULU ,"1,569,809","508,790,794.99",0.316,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,871607107,SNPS ,"1,911,620","489,049,744.60",0.304,Synopsys Inc,Common Stock,Information Technology,05/25/2021
QQQ,015351109,ALXN ,"2,758,211","488,479,168.10",0.304,Alexion Pharmaceuticals Inc,Common Stock,Health Care,05/25/2021
QQQ,57667L107,MTCH ,"3,374,483","486,802,917.58",0.303,Match Group Inc,Common Stock,Communication Services,05/25/2021
QQQ,98389B100,XEL ,"6,745,365","480,539,802.60",0.299,Xcel Energy Inc,Common Stock,Utilities,05/25/2021
QQQ,192446102,CTSH ,"6,657,068","472,651,828.00",0.294,Cognizant Technology Solutions Corp,Common Stock,Information Technology,05/25/2021
QQQ,67103H107,ORLY ,"880,814","471,059,327.20",0.293,O'Reilly Automotive Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,172908105,CTAS ,"1,317,723","468,450,526.50",0.291,Cintas Corp,Common Stock,Industrials,05/25/2021
QQQ,256163106,DOCU ,"2,340,525","457,993,932.00",0.285,DocuSign Inc,Common Stock,Information Technology,05/25/2021
QQQ,704326107,PAYX ,"4,524,421","457,373,718.89",0.284,Paychex Inc,Common Stock,Information Technology,05/25/2021
QQQ,127387108,CDNS ,"3,499,967","446,210,792.83",0.277,Cadence Design Systems Inc,Common Stock,Information Technology,05/25/2021
QQQ,64110W102,NTES ,"3,758,862","430,276,933.14",0.268,NetEase Inc ADR,American Depository Receipt,Communication Services,05/25/2021
QQQ,252131107,DXCM ,"1,206,605","426,233,216.25",0.265,Dexcom Inc,Common Stock,Health Care,05/25/2021
QQQ,573874104,MRVL ,"8,428,249","404,808,799.47",0.252,Marvell Technology Inc,Common Stock,Information Technology,05/25/2021
QQQ,693718108,PCAR ,"4,352,640","394,131,552.00",0.245,PACCAR Inc,Common Stock,Industrials,05/25/2021
QQQ,983919101,XLNX ,"3,077,240","381,854,711.60",0.237,Xilinx Inc,Common Stock,Information Technology,05/25/2021
QQQ,311900104,FAST ,"7,205,631","379,664,697.39",0.236,Fastenal Co,Common Stock,Industrials,05/25/2021
QQQ,217204106,CPRT ,"2,964,675","378,974,405.25",0.236,Copart Inc,Common Stock,Industrials,05/25/2021
QQQ,G06242104,TEAM ,"1,668,842","376,691,016.24",0.234,Atlassian Corp PLC,Common Stock,Information Technology,05/25/2021
QQQ,679295105,OKTA ,"1,520,796","371,302,343.40",0.231,Okta Inc,Common Stock,Information Technology,05/25/2021
QQQ,03662Q105,ANSS ,"1,088,327","369,149,635.13",0.230,ANSYS Inc,Common Stock,Information Technology,05/25/2021
QQQ,92345Y106,VRSK ,"2,042,386","354,762,448.20",0.221,Verisk Analytics Inc,Common Stock,Industrials,05/25/2021
QQQ,83088M102,SWKS ,"2,068,809","351,759,594.27",0.219,Skyworks Solutions Inc,Common Stock,Information Technology,05/25/2021
QQQ,81181C104,SGEN ,"2,272,872","342,499,081.68",0.213,Seagen Inc,Common Stock,Health Care,05/25/2021
QQQ,57772K101,MXIM ,"3,362,783","340,448,150.92",0.212,Maxim Integrated Products Inc,Common Stock,Information Technology,05/25/2021
QQQ,70614W100,PTON ,"3,307,567","328,904,462.48",0.205,Peloton Interactive Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,92343E102,VRSN ,"1,418,840","318,529,580.00",0.198,VeriSign Inc,Common Stock,Information Technology,05/25/2021
QQQ,256746108,DLTR ,"2,950,707","315,666,634.86",0.196,Dollar Tree Inc,Common Stock,Consumer Discretionary,05/25/2021
QQQ,82968B103,SIRI ,"51,939,395","311,116,976.05",0.193,Sirius XM Holdings Inc,Common Stock,Communication Services,05/25/2021
QQQ,156782104,CERN ,"3,842,774","300,197,504.88",0.187,Cerner Corp,Common Stock,Health Care,05/25/2021
QQQ,12514G108,CDW ,"1,768,848","294,920,027.04",0.183,CDW Corp/DE,Common Stock,Information Technology,05/25/2021
QQQ,89677Q107,TCOM ,"6,609,684","262,867,132.68",0.163,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,05/25/2021
QQQ,848637104,SPLK ,"2,028,909","240,851,787.39",0.150,Splunk Inc,Common Stock,Information Technology,05/25/2021
QQQ,45337C102,INCY ,"2,758,155","228,044,255.40",0.142,Incyte Corp,Common Stock,Health Care,05/25/2021
QQQ,M22465104,CHKP ,"1,758,922","207,904,580.40",0.129,Check Point Software Technologies Ltd,Common Stock,Information Technology,05/25/2021
QQQ,35137L105,FOXA ,"4,194,707","155,833,365.05",0.097,Fox Corp,Common Stock,Communication Services,05/25/2021
QQQ,35137L204,FOX ,"3,214,194","115,389,564.60",0.072,Fox Corp,Common Stock,Communication Services,05/25/2021
